recipe_name,steps
Margherita Pizza,Preheat oven to 260°C with tray inside.
Margherita Pizza,Stretch dough into a 30 cm circle.
Margherita Pizza,"Spread tomato sauce, leaving a border."
Margherita Pizza,Add salt and mozzarella.
Margherita Pizza,Drizzle olive oil and bake 8–10 minutes.
Margherita Pizza,Add basil after baking.
Spaghetti Carbonara,Boil pasta in salted water.
Spaghetti Carbonara,Fry pancetta until crisp.
Spaghetti Carbonara,"Mix egg yolks, cheese, and pepper."
Spaghetti Carbonara,"Drain pasta, reserving water."
Spaghetti Carbonara,Combine pasta with pancetta off heat.
Spaghetti Carbonara,Stir in egg mixture until creamy.
Lasagna Bolognese,Brown beef in a pan.
Lasagna Bolognese,Add tomato sauce and simmer 30 minutes.
Lasagna Bolognese,Preheat oven to 180°C.
Lasagna Bolognese,"Layer sauce, pasta, and béchamel."
Lasagna Bolognese,Repeat layers and top with parmesan.
Lasagna Bolognese,Bake 45 minutes and rest before serving.
Croissant,Mix dough ingredients and knead.
Croissant,Chill dough for 1 hour.
Croissant,Laminate butter into dough.
Croissant,Fold dough three times with chilling.
Croissant,Shape croissants and proof 2 hours.
Croissant,Bake at 200°C for 18 minutes.
Ratatouille,Preheat oven to 180°C.
Ratatouille,Slice vegetables evenly.
Ratatouille,Spread tomato sauce in a baking dish.
Ratatouille,Arrange vegetables on top.
Ratatouille,Drizzle with olive oil.
Ratatouille,Bake for 45 minutes.
Sushi Rolls (Maki),Season cooked sushi rice.
Sushi Rolls (Maki),Place nori shiny side down.
Sushi Rolls (Maki),Spread rice thinly on nori.
Sushi Rolls (Maki),Add salmon and cucumber.
Sushi Rolls (Maki),Roll tightly using a mat.
Sushi Rolls (Maki),Slice into pieces.
Ramen,Simmer broth for 45 minutes.
Ramen,Cook noodles separately.
Ramen,Soft-boil eggs for 6 minutes.
Ramen,Slice pork belly.
Ramen,"Assemble noodles, broth, and toppings."
Butter Chicken,Marinate chicken in yogurt and spices.
Butter Chicken,Sear chicken until lightly browned.
Butter Chicken,Simmer tomato puree with butter.
Butter Chicken,Add cream and chicken.
Butter Chicken,Cook for 15 minutes.
Chicken Biryani,Parboil rice and drain.
Chicken Biryani,Cook marinated chicken.
Chicken Biryani,Layer rice over chicken.
Chicken Biryani,Cover and steam for 30 minutes.
Chicken Biryani,Rest before serving.
Ghormeh Sabzi,Fry herbs until dark and aromatic.
Ghormeh Sabzi,Brown meat with onion.
Ghormeh Sabzi,Add beans and dried limes.
Ghormeh Sabzi,Add water to cover.
Ghormeh Sabzi,Simmer for 3 hours.
Tahchin,Parboil rice and drain.
Tahchin,"Mix yogurt, egg yolks, saffron, oil, and salt."
Tahchin,Combine rice with yogurt mixture.
Tahchin,Press rice firmly into greased pot or dish.
Tahchin,Bake at 180°C for 60 minutes.
Tahchin,Invert and serve.
Tacos al Pastor,Slice pork thinly and marinate with spices.
Tacos al Pastor,Grill pork until cooked and slightly charred.
Tacos al Pastor,Warm tortillas in a pan.
Tacos al Pastor,Chop pork and pineapple.
Tacos al Pastor,Assemble tacos with onion and pineapple.
Guacamole,Halve avocados and remove pits.
Guacamole,Scoop flesh into a bowl.
Guacamole,Mash with fork.
Guacamole,"Add lime juice, onion, and salt."
Guacamole,Mix gently and serve.
Cheeseburger,Shape beef into a patty and season.
Cheeseburger,Heat pan or grill with oil.
Cheeseburger,Cook patty 3–4 minutes per side.
Cheeseburger,Add cheese and melt.
Cheeseburger,Toast bun lightly.
Cheeseburger,Assemble burger.
Mac and Cheese,Cook pasta and drain.
Mac and Cheese,Melt butter in a pan.
Mac and Cheese,Add flour and cook 1 minute.
Mac and Cheese,Whisk in milk to form sauce.
Mac and Cheese,Add cheese and melt.
Mac and Cheese,Mix with pasta and bake at 180°C for 25 minutes
Fried Rice,Heat oil in a wok.
Fried Rice,Scramble eggs and remove.
Fried Rice,Stir-fry vegetables.
Fried Rice,Add rice and fry well.
Fried Rice,Return eggs and add soy sauce.
Fried Rice,Stir and serve hot
Kung Pao Chicken,Cut chicken into cubes.
Kung Pao Chicken,Heat oil and fry chicken.
Kung Pao Chicken,Add chilies and peanuts.
Kung Pao Chicken,Add soy sauce.
Kung Pao Chicken,Stir-fry for 5–7 minutes.
Kung Pao Chicken,Serve hot.
Pad Thai,Soak noodles in warm water.
Pad Thai,Stir-fry shrimp until pink.
Pad Thai,Add noodles and sauce.
Pad Thai,Push aside and scramble eggs.
Pad Thai,Add sprouts and mix.
Pad Thai,Cook until noodles are tender.
Green Curry,Fry curry paste in a pan.
Green Curry,Add coconut milk and simmer.
Green Curry,Add chicken and cook 10 minutes.
Green Curry,Add vegetables.
Green Curry,Simmer until cooked.
Bibimbap,Cook rice and keep warm.
Bibimbap,Stir-fry vegetables separately.
Bibimbap,Cook beef until browned.
Bibimbap,Fry eggs sunny-side up.
Bibimbap,Arrange all ingredients over rice.
Bibimbap,Drizzle with sesame oil and serve.
Kimchi,Cut cabbage and salt evenly.
Kimchi,"Rest 2 hours, then rinse and drain."
Kimchi,"Mix chili flakes, garlic, and ginger."
Kimchi,Coat cabbage thoroughly.
Kimchi,Pack into jar tightly.
Kimchi,Ferment at room temperature 3–7 days.
Greek Salad,Chop tomatoes and cucumber.
Greek Salad,Add olives and feta.
Greek Salad,Drizzle olive oil.
Greek Salad,Toss gently.
Greek Salad,Serve immediately
Moussaka,Slice and fry eggplant.
Moussaka,Cook beef with tomato sauce.
Moussaka,Layer eggplant and meat.
Moussaka,Top with béchamel.
Moussaka,Bake at 180°C for 45 minutes
Paella,Heat oil in wide pan.
Paella,Brown protein.
Paella,Add rice and stir.
Paella,Pour in broth.
Paella,Simmer uncovered 20 minutes.
Paella,Rest before serving.
Tortilla Española,Slice potatoes thinly.
Tortilla Española,Fry potatoes and onion until soft.
Tortilla Española,Beat eggs in bowl.
Tortilla Española,Mix eggs with potatoes.
Tortilla Española,Cook in pan until set.
Tortilla Española,Flip and finish cooking.
Doner Kebab,Marinate meat with yogurt and spices.
Doner Kebab,Grill or roast until cooked.
Doner Kebab,Slice meat thinly.
Doner Kebab,Warm pita bread.
Doner Kebab,Assemble and serve.
Baklava,Layer phyllo with butter.
Baklava,Add walnut layer.
Baklava,Repeat layers.
Baklava,Cut into pieces.
Baklava,Bake at 180°C for 45 minutes.
Baklava,Pour syrup over hot baklava.
Pho,Heat broth until simmering.
Pho,Cook noodles and drain.
Pho,Place noodles in bowl.
Pho,Add raw beef.
Pho,Pour hot broth over.
Pho,Garnish with herbs
Spring Rolls,Cook shrimp and noodles.
Spring Rolls,Soak rice paper briefly.
Spring Rolls,Place fillings on wrapper.
Spring Rolls,Roll tightly.
Spring Rolls,Serve fresh
Poutine,Fry potatoes until crispy.
Poutine,Heat gravy.
Poutine,Place fries on plate.
Poutine,Add cheese curds.
Poutine,Pour hot gravy over.
Poutine,Serve immediately.
Feijoada,Soak beans overnight.
Feijoada,Cook beans until tender.
Feijoada,Brown pork in a pot.
Feijoada,Add onion and garlic.
Feijoada,Combine beans and meat.
Feijoada,Simmer 2 hours.
Pão de Queijo,Heat milk and oil.
Pão de Queijo,Pour over tapioca flour.
Pão de Queijo,Mix in eggs and cheese.
Pão de Queijo,Shape small balls.
Pão de Queijo,Bake at 180°C for 20 minutes.
Couscous,Steam couscous until fluffy.
Couscous,Cook vegetables until tender.
Couscous,Heat chickpeas.
Couscous,Combine couscous with oil.
Couscous,Serve with vegetables.
Tagine,Brown meat with onion.
Tagine,Add spices and vegetables.
Tagine,Add small amount of water.
Tagine,Cover and simmer 1.5 hours.
Tagine,Serve hot.
Borscht,Grate beets.
Borscht,Boil broth.
Borscht,Add vegetables.
Borscht,Simmer 40 minutes.
Borscht,Serve hot.
Pelmeni,Make dough from flour and water.
Pelmeni,Mix meat and onion.
Pelmeni,Fill dough with meat.
Pelmeni,Seal dumplings.
Pelmeni,Boil until they float.
Empanadas,Cook beef with onion and spices.
Empanadas,Cool filling.
Empanadas,Fill dough discs.
Empanadas,Seal edges.
Empanadas,Bake at 180°C for 25 minutes
Asado,Heat grill to medium.
Asado,Season beef with salt.
Asado,Grill slowly.
Asado,Turn occasionally.
Asado,Rest meat before slicing.
Koshari,"Cook rice, lentils, and pasta separately."
Koshari,Heat tomato sauce.
Koshari,"Layer rice, lentils, and pasta."
